name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;271;0;429;3079;1150;3079;1103;0
header;278;159;278;192;1893;192;1893;159
A;1079;226;1079;252;1098;252;1098;226
A;650;822;650;822;651;822;651;822
B;1081;955;1081;983;1102;983;1102;955
C;1079;1643;1079;1670;1100;1670;1100;1643
B;770;1787;770;1805;785;1805;785;1787
A;495;1902;495;1904;497;1904;497;1902
B;911;2131;911;2153;930;2153;930;2131
D;1086;2340;1086;2368;1106;2368;1106;2340
A;937;2850;937;2861;942;2861;942;2850
A;594;2893;594;2905;600;2905;600;2893
